type	begin	end	db	gold
0	1	1	1000	100
0	2	2	950	95
0	3	3	900	90
0	4	4	850	85
0	5	5	800	80
0	6	6	750	75
0	7	7	700	70
0	8	8	650	65
0	9	9	600	60
0	10	10	550	50
0	11	20	500	45
0	21	50	480	40
0	51	100	460	35
0	101	200	440	30
0	201	300	420	25
0	301	500	400	20
0	501	700	380	15
0	701	1000	360	10
0	1001	1500	340	10
0	1501	2000	320	10
0	2001	10000000	300	10
1	1	1	1000	100
1	2	2	950	95
1	3	3	900	90
1	4	4	850	85
1	5	5	800	80
1	6	6	750	75
1	7	7	700	70
1	8	8	650	65
1	9	9	600	60
1	10	10	550	50
1	11	20	500	45
1	21	50	480	40
1	51	100	460	35
1	101	200	440	30
1	201	300	420	25
1	301	500	400	20
1	501	700	380	15
1	701	1000	360	10
1	1001	1500	340	10
1	1501	2000	320	10
1	2001	10000000	300	10
2	1	1	1000	100
2	2	2	950	95
2	3	3	900	90
2	4	4	850	85
2	5	5	800	80
2	6	6	750	75
2	7	7	700	70
2	8	8	650	65
2	9	9	600	60
2	10	10	550	50
2	11	20	500	45
2	21	50	480	40
2	51	100	460	35
2	101	200	440	30
2	201	300	420	25
2	301	500	400	20
2	501	700	380	15
2	701	1000	360	10
2	1001	1500	340	10
2	1501	2000	320	10
2	2001	10000000	300	10
